NUTS2Nr,Nuts2,Country1,Country Code,Scenario,ONOFF,Offshore categories,Subscenario - not cumulative,Nuts Area,Suitable area,SHARE_Surface,GW_<15%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_15%-20%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_20%-25%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_Morethan25%_2030_100m_ALLTIMESLICESAVERAGE_V112,Population,MWh_TOT_Per1000hab,Share lower 15%,Share 15%-20%,Share 20%-25%,Share >25% after correction with 85%,AVG([SHARE_Surface]*([Share >25% after correction with 85%]+[Share 20%-25%])),RealCF (top 10%),RealCF>20,Real average CF over whole region,RealCF<15%,RealCF15%-20%,RealCF20%-25%,RealCF>25%,TWh_<15%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_15%-20%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_20%-25%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_Morethan25%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWH_>20%,CountryElec_TWh,RatioCons,Turbines_TOT
333,EZEE,Estonia,EE,Reference,Offshore,Water depth 30-60m,,36215,240,0.002,0.0,0.0,0.0,1.2,1315944,1.34,0.00,0.00,0.00,1.00,0.002,0.487,0.458,0.458,,,,0.458,0.0,0.0,0.0,4.8,4.8,7.3,0.24,120
333,EZEE,Estonia,EE,Reference,Offshore,Water depth 60-100m Floating,,36215,0,0.000,0.0,0.0,0.0,0.0,1315944,0.00,0.00,0.00,0.00,1.00,0.000,0.487,0.458,0.458,,,,0.458,0.0,0.0,0.0,0.0,0.0,7.3,0.00,0
329,EZFI,Finland,FI,Reference,Offshore,Water depth 0-30m,,78980,1240,0.034,0.0,0.0,0.0,6.2,5487308,9.74,0.00,0.00,0.00,1.00,0.034,0.489,0.454,0.454,,,,0.454,0.0,0.0,0.0,24.7,24.7,80.8,0.66,620
329,EZFI,Finland,FI,Reference,Offshore,Water depth 30-60m,,78980,3013,0.020,0.0,0.0,0.0,15.1,5487308,5.68,0.00,0.00,0.00,1.00,0.020,0.489,0.454,0.454,,,,0.454,0.0,0.0,0.0,60.0,60.0,80.8,0.39,1507
329,EZFI,Finland,FI,Reference,Offshore,Water depth 60-100m Floating,,78980,0,0.000,0.0,0.0,0.0,0.0,5487308,0.00,0.00,0.00,0.00,1.00,0.000,0.489,0.454,0.454,,,,0.454,0.0,0.0,0.0,0.0,0.0,80.8,0.00,0
323,EZFR,France,FR,Reference,Offshore,Water depth 0-30m,,343339,349,0.005,0.0,0.0,0.0,1.7,66759950,0.43,0.00,0.00,0.00,1.00,0.005,0.482,0.418,0.418,,,,0.418,0.0,0.0,0.0,6.4,6.4,442.4,0.07,175
323,EZFR,France,FR,Reference,Offshore,Water depth 30-60m,,343339,2780,0.005,0.0,0.0,0.0,13.9,66759950,0.43,0.00,0.00,0.00,1.00,0.005,0.482,0.418,0.418,,,,0.418,0.0,0.0,0.0,50.8,50.8,442.4,0.06,1390
323,EZFR,France,FR,Reference,Offshore,Water depth 60-100m Floating,,343339,0,0.000,0.0,0.0,0.0,0.0,66759950,0.00,0.00,0.00,0.00,1.00,0.000,0.482,0.418,0.418,,,,0.418,0.0,0.0,0.0,0.0,0.0,442.4,0.00,0
326,EZDE,Germany,DE,Reference,Offshore,Water depth 0-30m,,56303,2058,0.054,0.0,0.0,0.0,10.3,82175684,0.71,0.00,0.00,0.00,1.00,0.054,0.508,0.437,0.437,,,,0.437,0.0,0.0,0.0,39.4,39.4,517.4,0.11,1029
326,EZDE,Germany,DE,Reference,Offshore,Water depth 30-60m,,56303,3510,0.044,0.0,0.0,0.0,17.6,82175684,0.58,0.00,0.00,0.00,1.00,0.044,0.508,0.437,0.437,,,,0.437,0.0,0.0,0.0,67.2,67.2,517.4,0.09,1755
326,EZDE,Germany,DE,Reference,Offshore,Water depth 60-100m Floating,,56303,0,0.000,0.0,0.0,0.0,0.0,82175684,0.00,0.00,0.00,0.00,1.00,0.000,0.508,0.437,0.437,,,,0.437,0.0,0.0,0.0,0.0,0.0,517.4,0.00,0
338,EZGR,Greece,EL,Reference,Offshore,Water depth 0-30m,,491647,3,0.000,0.0,0.0,0.0,0.0,10783748,0.00,0.00,0.00,0.27,0.73,0.000,0.423,0.298,0.298,,,0.225,0.325,0.0,0.0,0.0,0.0,0.0,53.4,0.00,2
338,EZGR,Greece,EL,Reference,Offshore,Water depth 30-60m,,491647,2,0.000,0.0,0.0,0.0,0.0,10783748,0.00,0.00,0.00,0.27,0.73,0.000,0.423,0.298,0.298,,,0.225,0.325,0.0,0.0,0.0,0.0,0.0,53.4,0.00,1
338,EZGR,Greece,EL,Reference,Offshore,Water depth 60-100m Floating,,491647,0,0.000,0.0,0.0,0.0,0.0,10783748,0.00,0.00,0.00,0.27,0.73,0.000,0.423,0.298,0.298,,,0.225,0.325,0.0,0.0,0.0,0.0,0.0,53.4,0.00,0
319,EZIR,Ireland,IE,Reference,Offshore,Water depth 0-30m,,426612,0,0.000,0.0,0.0,0.0,0.0,4724720,0.39,0.00,0.00,0.00,1.00,0.000,0.558,0.527,0.527,,,,0.527,0.0,0.0,0.0,0.0,0.0,25.6,0.07,0
319,EZIR,Ireland,IE,Reference,Offshore,Water depth 30-60m,,426612,198,0.000,0.0,0.0,0.0,1.0,4724720,0.58,0.00,0.00,0.00,1.00,0.000,0.558,0.527,0.527,,,,0.527,0.0,0.0,0.0,4.6,4.6,25.6,0.11,99
319,EZIR,Ireland,IE,Reference,Offshore,Water depth 60-100m Floating,,426612,0,0.000,0.0,0.0,0.0,0.0,4724720,0.00,0.00,0.00,0.00,1.00,0.000,0.558,0.527,0.527,,,,0.527,0.0,0.0,0.0,0.0,0.0,25.6,0.00,0
334,EZIT,Italy,IT,Reference,Offshore,Water depth 0-30m,,537044,148,0.001,0.0,0.1,0.2,0.4,60665551,0.09,0.00,0.12,0.32,0.56,0.001,0.340,0.267,0.256,,0.175,0.225,0.291,0.0,0.1,0.5,1.1,1.5,286.0,0.02,65
334,EZIT,Italy,IT,Reference,Offshore,Water depth 30-60m,,537044,1071,0.001,0.0,0.6,1.7,3.0,60665551,0.12,0.00,0.12,0.32,0.56,0.001,0.340,0.267,0.256,,0.175,0.225,0.291,0.0,1.0,3.4,7.6,11.0,286.0,0.02,471
334,EZIT,Italy,IT,Reference,Offshore,Water depth 60-100m Floating,,537044,0,0.000,0.0,0.0,0.0,0.0,60665551,0.00,0.00,0.12,0.32,0.56,0.000,0.340,0.267,0.256,,0.175,0.225,0.291,0.0,0.0,0.0,0.0,0.0,286.0,0.00,0
332,EZLV,Latvia,LV,Reference,Offshore,Water depth 0-30m,,28916,440,0.043,0.0,0.0,0.0,2.2,1968957,12.88,0.00,0.00,0.00,1.00,0.043,0.488,0.464,0.464,,,,0.464,0.0,0.0,0.0,8.9,8.9,6.5,3.91,220
332,EZLV,Latvia,LV,Reference,Offshore,Water depth 30-60m,,28916,2554,0.060,0.0,0.0,0.0,12.8,1968957,18.04,0.00,0.00,0.00,1.00,0.060,0.488,0.464,0.464,,,,0.464,0.0,0.0,0.0,51.9,51.9,6.5,5.48,1277
332,EZLV,Latvia,LV,Reference,Offshore,Water depth 60-100m Floating,,28916,0,0.000,0.0,0.0,0.0,0.0,1968957,0.00,0.00,0.00,0.00,1.00,0.000,0.488,0.464,0.464,,,,0.464,0.0,0.0,0.0,0.0,0.0,6.5,0.00,0
331,EZLT,Lithuania,LT,Reference,Offshore,Water depth 0-30m,,6126,77,0.036,0.0,0.0,0.0,0.4,2888558,1.52,0.00,0.00,0.00,1.00,0.036,0.467,0.457,0.457,,,,0.457,0.0,0.0,0.0,1.5,1.5,9.8,0.45,39
331,EZLT,Lithuania,LT,Reference,Offshore,Water depth 30-60m,,6126,511,0.060,0.0,0.0,0.0,2.6,2888558,2.55,0.00,0.00,0.00,1.00,0.060,0.467,0.457,0.457,,,,0.457,0.0,0.0,0.0,10.2,10.2,9.8,0.76,256
331,EZLT,Lithuania,LT,Reference,Offshore,Water depth 60-100m Floating,,6126,0,0.000,0.0,0.0,0.0,0.0,2888558,0.00,0.00,0.00,0.00,1.00,0.000,0.467,0.457,0.457,,,,0.457,0.0,0.0,0.0,0.0,0.0,9.8,0.00,0
