,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
629,"Sociedade Portuguesa do Ar Líquido ""ARLIQUIDO"" LDA - Estarreja",PT16D,-1,POINT (-8.570986 40.752838),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
630,"Sociedade Portuguesa do Ar Líquido ""ARLIQUIDO"" LDA - Estarreja",PT16D,-1,POINT (-8.570986 40.752838),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
631,"Sociedade Portuguesa do Ar Líquido ""ARLIQUIDO"" LDA - Estarreja",PT16D,-1,POINT (-8.570986 40.752838),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
632,"BRESFOR, INDÚSTRIA DO FORMOL, S.A. - Gafanha da Nazaré",PT16D,-1,POINT (-8.702416 40.645144),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
633,Euroresinas Indústrias Químicas S.A. - Sines,PT181,-1,POINT (-8.809969 37.987695),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
634,"Indorama Ventures Portugal PTA, Unipessoal Lda. - Sines",PT181,-1,POINT (-8.818128 37.979248),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
635,"Indorama Ventures Portugal PTA, Unipessoal Lda. - Sines",PT181,-1,POINT (-8.818128 37.979248),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
636,"Indorama Ventures Portugal PTA, Unipessoal Lda. - Sines",PT181,-1,POINT (-8.818128 37.979248),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
637,"CIRES, Lda - Avanca - Estarreja",PT16D,-1,POINT (-8.573968 40.779859),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
638,"Recivalongo - Gestão de Resíduos, Lda.. - Valongo",PT11A,-1,POINT (-8.479543 41.221136),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
