,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
763,Nitrogénmûvek ZRt. - Pétfürdõ,HU213,-1,POINT (18.128348 47.166631),Fertilisers,fertilisers,540,540,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,3511954.8,0,Fertilisers,3732814.8,220859.99999999997
764,Nitrogénmûvek ZRt. - Pétfürdõ,HU213,-1,POINT (18.128348 47.166631),Fertilisers,fertilisers,123.44,123.44,100,fertiliser-urea,101628.152,0,0,0,0,0,0,0,0,0,0,1837190.8487999998,0,Fertilisers,1961778.8408,22959.840000000004
766,AB Achema - Jonavos raj.,LT022,-1,POINT (24.313232 55.074436),Fertilisers,fertilisers,1117,1117,100,fertiliser-ammonia,2319796.77,0,0,0,0,0,0,0,0,0,0,31643649.38,0,Fertilisers,35909260.15,1945814
767,AB Achema - Jonavos raj.,LT022,-1,POINT (24.313232 55.074436),Fertilisers,fertilisers,1650,1650,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,10730973,0,Fertilisers,11405823,674849.9999999999
768,AB Achema - Jonavos raj.,LT022,-1,POINT (24.313232 55.074436),Fertilisers,fertilisers,785,785,100,fertiliser-urea,646290.5000000001,0,0,0,0,0,0,0,0,0,0,11683366.95,0,Fertilisers,12475667.45,146010.00000000003
770,Yara Sluiskil B.V. - SLUISKIL,NL341,-1,POINT (3.849796 51.272169),Fertilisers,fertilisers,1900,1900,100,fertiliser-ammonia,3945939.0000000005,0,0,0,0,0,0,0,0,0,0,53825365.99999999,0,Fertilisers,61081104.99999999,3309800
771,Yara Sluiskil B.V. - SLUISKIL,NL341,-1,POINT (3.849796 51.272169),Fertilisers,fertilisers,1400,1400,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,9105068,0,Fertilisers,9677668,572599.9999999999
772,Yara Sluiskil B.V. - SLUISKIL,NL341,-1,POINT (3.849796 51.272169),Fertilisers,fertilisers,1300,1300,100,fertiliser-urea,1070290,0,0,0,0,0,0,0,0,0,0,19348251,0,Fertilisers,20660341,241800.00000000003
774,Grupa Azoty Zakłady Chemiczne POLICE S.A. - Police,PL428,-1,POINT (14.549738 53.570646),Fertilisers,fertilisers,547.5,547.5,100,fertiliser-ammonia,1137053.4749999999,0,0,0,0,0,0,0,0,0,0,15510204.15,0,Fertilisers,17601002.625,953745
775,Grupa Azoty Zakłady Chemiczne POLICE S.A. - Police,PL428,-1,POINT (14.549738 53.570646),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
