"Section";"Class";"Power_level";"Nb_customer"
"C";"23.9";"LV-a";0
"C";"23.9";"LV-b";0
"C";"23.9";"MV";330
"C";"24.10";"LV-a";0
"C";"24.10";"LV-b";0
"C";"24.10";"MV";18
"C";"24.20";"LV-a";0
"C";"24.20";"LV-b";1
"C";"24.20";"MV";42
"C";"24.3";"LV-a";0
"C";"24.3";"LV-b";1
"C";"24.3";"MV";47
"C";"24.42";"LV-a";0
"C";"24.42";"LV-b";2
"C";"24.42";"MV";30
"C";"24.5";"LV-a";0
"C";"24.5";"LV-b";1
"C";"24.5";"MV";36
"C";"24.51";"LV-a";0
"C";"24.51";"LV-b";0
"C";"24.51";"MV";54
"C";"24.52";"LV-a";0
"C";"24.52";"LV-b";0
"C";"24.52";"MV";28
"C";"24.53";"LV-a";0
"C";"24.53";"LV-b";1
"C";"24.53";"MV";83
"C";"25.12";"LV-a";6
"C";"25.12";"LV-b";6
"C";"25.12";"MV";224
"C";"25.2";"LV-a";0
"C";"25.2";"LV-b";0
"C";"25.2";"MV";55
"C";"25.50";"LV-a";2
"C";"25.50";"LV-b";6
"C";"25.50";"MV";290
"C";"25.61";"LV-a";1
"C";"25.61";"LV-b";5
"C";"25.61";"MV";339
"C";"25.62";"LV-a";7
"C";"25.62";"LV-b";15
"C";"25.62";"MV";354
"C";"25.7";"LV-a";2
"C";"25.7";"LV-b";4
"C";"25.7";"MV";160
"C";"25.92";"LV-a";0
"C";"25.92";"LV-b";0
"C";"25.92";"MV";66
"C";"25.99";"LV-a";2
"C";"25.99";"LV-b";7
"C";"25.99";"MV";222
"C";"26.40";"LV-a";4
"C";"26.40";"LV-b";3
"C";"26.40";"MV";238
"C";"26.5";"LV-a";1
"C";"26.5";"LV-b";3
"C";"26.5";"MV";118
"C";"27.1";"LV-a";2
"C";"27.1";"LV-b";1
"C";"27.1";"MV";224
"C";"27.20";"LV-a";0
"C";"27.20";"LV-b";0
"C";"27.20";"MV";7
"C";"27.3";"LV-a";0
"C";"27.3";"LV-b";0
"C";"27.3";"MV";50
"C";"27.40";"LV-a";1
"C";"27.40";"LV-b";1
"C";"27.40";"MV";38
"C";"27.90";"LV-a";12
"C";"27.90";"LV-b";3
"C";"27.90";"MV";167
"C";"28.4";"LV-a";7
"C";"28.4";"LV-b";10
"C";"28.4";"MV";555
"C";"29.10";"LV-a";0
"C";"29.10";"LV-b";2
"C";"29.10";"MV";140
"C";"29.3";"LV-a";0
"C";"29.3";"LV-b";2
"C";"29.3";"MV";199
"C";"30.2/30.1";"LV-a";0
"C";"30.2/30.1";"LV-b";0
"C";"30.2/30.1";"MV";106
"C";"30.30";"LV-a";0
"C";"30.30";"LV-b";0
"C";"30.30";"MV";118
"C";"31.01";"LV-a";17
"C";"31.01";"LV-b";6
"C";"31.01";"MV";198
"C";"31.03";"LV-a";1
"C";"31.03";"LV-b";0
"C";"31.03";"MV";15
"C";"32";"LV-a";6
"C";"32";"LV-b";1
"C";"32";"MV";104
"C";"33.12";"LV-a";20
"C";"33.12";"LV-b";12
"C";"33.12";"MV";142
"C";"33.17/33.16/33.15";"LV-a";1
"C";"33.17/33.16/33.15";"LV-b";0
"C";"33.17/33.16/33.15";"MV";40
"D";"35";"LV-a";8
"D";"35";"LV-b";26
"D";"35";"MV";901
"E";"36";"LV-a";54
"E";"36";"LV-b";34
"E";"36";"MV";1721
"E";"38";"LV-a";6
"E";"38";"LV-b";13
"E";"38";"MV";759
"F";"41.10";"LV-a";15
"F";"41.10";"LV-b";13
"F";"41.10";"MV";131
"F";"41.20";"LV-a";5
"F";"41.20";"LV-b";9
"F";"41.20";"MV";98
"F";"42.11";"LV-a";0
"F";"42.11";"LV-b";4
"F";"42.11";"MV";121
"F";"42.12";"LV-a";2
"F";"42.12";"LV-b";1
"F";"42.12";"MV";11
"F";"42.13";"LV-a";0
"F";"42.13";"LV-b";0
"F";"42.13";"MV";16
"F";"42.21";"LV-a";0
"F";"42.21";"LV-b";2
"F";"42.21";"MV";10
"F";"42.22";"LV-a";5
"F";"42.22";"LV-b";0
"F";"42.22";"MV";3
"F";"42.91";"LV-a";0
"F";"42.91";"LV-b";0
"F";"42.91";"MV";7
"F";"42.99";"LV-a";1
"F";"42.99";"LV-b";4
"F";"42.99";"MV";448
"F";"43.11";"LV-a";1
"F";"43.11";"LV-b";0
"F";"43.11";"MV";8
"F";"43.12";"LV-a";10
"F";"43.12";"LV-b";1
"F";"43.12";"MV";73
"F";"43.21";"LV-a";24
"F";"43.21";"LV-b";2
"F";"43.21";"MV";28
"F";"43.22";"LV-a";22
"F";"43.22";"LV-b";2
"F";"43.22";"MV";55
"F";"43.29";"LV-a";3
"F";"43.29";"LV-b";0
"F";"43.29";"MV";8
"F";"43.31";"LV-a";6
"F";"43.31";"LV-b";1
"F";"43.31";"MV";0
"F";"43.32";"LV-a";60
"F";"43.32";"LV-b";16
"F";"43.32";"MV";55
"F";"43.33";"LV-a";6
"F";"43.33";"LV-b";0
"F";"43.33";"MV";4
"F";"43.34";"LV-a";18
"F";"43.34";"LV-b";3
"F";"43.34";"MV";14
"F";"43.39";"LV-a";3
"F";"43.39";"LV-b";0
"F";"43.39";"MV";1
"F";"43.91";"LV-a";31
"F";"43.91";"LV-b";6
"F";"43.91";"MV";17
"F";"43.99";"LV-a";41
"F";"43.99";"LV-b";6
"F";"43.99";"MV";34
"G";"45.11";"LV-a";25
"G";"45.11";"LV-b";31
"G";"45.11";"MV";115
"G";"45.19";"LV-a";1
"G";"45.19";"LV-b";2
"G";"45.19";"MV";12
"G";"45.20";"LV-a";54
"G";"45.20";"LV-b";14
"G";"45.20";"MV";21
"G";"45.31";"LV-a";2
"G";"45.31";"LV-b";5
"G";"45.31";"MV";29
"G";"45.32";"LV-a";5
"G";"45.32";"LV-b";7
"G";"45.32";"MV";12
"G";"45.40";"LV-a";8
"G";"45.40";"LV-b";0
"G";"45.40";"MV";2
"G";"46.11";"LV-a";1
"G";"46.11";"LV-b";0
"G";"46.11";"MV";5
"G";"46.12";"LV-a";1
"G";"46.12";"LV-b";0
"G";"46.12";"MV";5
"G";"46.13";"LV-a";0
"G";"46.13";"LV-b";0
"G";"46.13";"MV";2
"G";"46.14";"LV-a";0
"G";"46.14";"LV-b";0
"G";"46.14";"MV";2
"G";"46.15";"LV-a";1
"G";"46.15";"LV-b";1
"G";"46.15";"MV";2
"G";"46.16";"LV-a";2
"G";"46.16";"LV-b";0
"G";"46.16";"MV";2
"G";"46.17";"LV-a";0
"G";"46.17";"LV-b";0
"G";"46.17";"MV";77
"G";"46.18";"LV-a";5
"G";"46.18";"LV-b";0
"G";"46.18";"MV";14
"G";"46.19";"LV-a";5
"G";"46.19";"LV-b";2
"G";"46.19";"MV";30
"G";"46.21";"LV-a";9
"G";"46.21";"LV-b";15
"G";"46.21";"MV";673
"G";"46.22";"LV-a";0
"G";"46.22";"LV-b";1
"G";"46.22";"MV";4
"G";"46.23";"LV-a";2
"G";"46.23";"LV-b";0
"G";"46.23";"MV";19
"G";"46.24";"LV-a";0
"G";"46.24";"LV-b";0
"G";"46.24";"MV";2
"G";"46.31";"LV-a";2
"G";"46.31";"LV-b";2
"G";"46.31";"MV";247
"G";"46.32";"LV-a";2
"G";"46.32";"LV-b";1
