"Power_level";"Section";"Class";"Mean";"Sd"
"MV";"C";"24.10";156017,53519591;50298,2274407799
"LV-b";"C";"24.20";26134,0872091308;22684,7791487805
"MV";"C";"24.20";157240,173509171;70949,0744168354
"LV-b";"C";"24.3";3381,32947192676;4430,82859233058
"MV";"C";"24.3";121499,373204272;65733,7471080482
"LV-b";"C";"24.42";12545,4327496336;14150,9226373719
"MV";"C";"24.42";319837,676101573;130768,839103152
"LV-b";"C";"24.5";3239,02002857578;1878,12765297217
"MV";"C";"24.5";287016,837295593;87858,8251126462
"MV";"C";"24.51";442561,501928401;301697,378846728
"MV";"C";"24.52";248354,862030934;140246,826467175
"LV-b";"C";"24.53";18449,1133895665;24315,7368502179
"MV";"C";"24.53";223639,682280828;78233,9678110993
"LV-a";"C";"25.12";2191,92699007912;1715,58769064865
"LV-b";"C";"25.12";19368,3241218523;17655,8540514376
"MV";"C";"25.12";44190,2876446379;32366,6336983738
"MV";"C";"25.2";80287,1083108368;47822,4962785483
"LV-a";"C";"25.50";102,247795309472;140,00522831027
"LV-b";"C";"25.50";25562,6851695563;16183,3198370358
"MV";"C";"25.50";94206,5970144769;49679,3137953148
"LV-a";"C";"25.61";2589,39686560136;3346,76978580111
"LV-b";"C";"25.61";11581,7777215545;13155,7742487768
"MV";"C";"25.61";89408,1325216472;34326,9806386465
"LV-a";"C";"25.62";1984,71040675192;2083,77267885499
"LV-b";"C";"25.62";16139,9824008241;8381,509301329
"MV";"C";"25.62";67228,1213918189;29156,9139157429
"LV-a";"C";"25.7";1042,91655216639;947,515476005416
"LV-b";"C";"25.7";21886,9910093537;14533,101553504
"MV";"C";"25.7";56072,8943032246;25962,0883000735
"MV";"C";"25.92";395676,322865499;121261,718167145
"LV-a";"C";"25.99";102,498130322232;168,39608460289
"LV-b";"C";"25.99";18193,2637645058;11021,6514917386
"MV";"C";"25.99";99532,6698064412;49876,4086013199
"LV-a";"C";"26.40";3947,91434100698;1928,78662247935
"LV-b";"C";"26.40";17673,1906528481;5523,57240261895
"MV";"C";"26.40";240075,231683986;38649,8479526945
"LV-a";"C";"26.5";1420,05809887183;1853,53717620568
"LV-b";"C";"26.5";9101,27600720639;7119,82032834307
"MV";"C";"26.5";208103,800037477;46573,292354415
"LV-a";"C";"27.1";2310,76442524087;1783,16914238695
"LV-b";"C";"27.1";11634,4173136426;10430,4017249126
"MV";"C";"27.1";137010,583227352;48855,3230090466
"MV";"C";"27.20";1174124,82165326;276251,652934121
"MV";"C";"27.3";558259,63463639;134949,46690609
"LV-a";"C";"27.40";1605,07252971492;3637,57459209311
"LV-b";"C";"27.40";19492,6793857509;27642,2635287659
"MV";"C";"27.40";249388,745065966;83420,9825945333
"LV-a";"C";"27.90";1111,53076449493;1115,62618094802
"LV-b";"C";"27.90";35408,9668651022;15602,0966303859
"MV";"C";"27.90";114995,567002767;35808,3300717826
"LV-a";"C";"28.4";1259,782719514;917,229351400532
"LV-b";"C";"28.4";9300,51592628457;9443,4888130418
"MV";"C";"28.4";75829,8846546841;34565,0829840215
"LV-b";"C";"29.10";9206,8286651061;15356,5090554542
"MV";"C";"29.10";87327,2604461172;43260,8348889394
"LV-b";"C";"29.3";9106,19366275596;7131,63416656736
"MV";"C";"29.3";252387,888943605;84245,2224009191
"MV";NA;"30.2/30.1";91109,5593424004;42653,1247789281
"MV";"C";"30.30";380664,701275584;99059,4833754443
"LV-a";"C";"31.01";893,751204802438;583,374577848303
"LV-b";"C";"31.01";8828,39822224084;8246,41496383125
"MV";"C";"31.01";54351,0842943299;36890,8115411236
"LV-a";"C";"31.03";0,348769872632627;8,37908641433881
"MV";"C";"31.03";53504,5950248535;31373,5326024482
"LV-a";"C";"32";960,728139997424;902,187167061144
"LV-b";"C";"32";7866,29524088908;11489,7837481698
"MV";"C";"32";75682,1951736973;31930,7028858357
"LV-a";"C";"33.12";1443,93634274155;892,169340393545
"LV-b";"C";"33.12";5831,22177484591;5389,25263459059
"MV";"C";"33.12";36634,0118105037;10951,7755258272
"LV-a";NA;"33.17/33.16/33.15";140,037746772967;348,256276025018
"MV";NA;"33.17/33.16/33.15";176250,626664423;55233,2260027782
"LV-a";"D";"35";667,620666949662;344,677250759747
"LV-b";"D";"35";13255,1848603442;6273,58229192307
"MV";"D";"35";32514,0827088038;5213,75459001057
"LV-a";"E";"36";564,709827562519;237,16396952226
"LV-b";"E";"36";13063,9745069369;3190,715927558
"MV";"E";"36";51817,8524803709;9053,72968794457
"LV-a";"E";"38";1707,82399046228;487,795330226455
"LV-b";"E";"38";9000,53901231994;3641,23580846869
"MV";"E";"38";53792,5013829327;20863,9070286221
"LV-a";"F";"41.10";1295,56725954139;595,001397183745
"LV-b";"F";"41.10";10029,2393830208;2041,56546739806
"MV";"F";"41.10";47917,6299554441;11776,8246399518
"LV-a";"F";"41.20";838,099282108163;763,384851464388
"LV-b";"F";"41.20";10925,716504898;5468,01782055212
"MV";"F";"41.20";41937,7557782223;18446,1482797529
"LV-b";"F";"42.11";7089,29558597024;4243,90529814684
"MV";"F";"42.11";31250,1668643613;21173,684099402
"LV-a";"F";"42.12";1186,39781923366;647,294323824921
