"Power_level";"Section";"Class";"Energy"
"LV-a";"O";"84.12";20083,7742225239
"LV-a";"O";"84.13";13835,241375049
"LV-a";"O";"84.25";11613,8720602995
"LV-a";"O";"84.30";34278,2341578051
"LV-a";"P";"85.10";21090,1867815917
"LV-a";"P";"85.20";17027,5964222853
"LV-a";"P";"85.31";8135,7012725884
"LV-a";"P";"85.32";10340,4011886851
"LV-a";"P";"85.42";6106,1137060344
"LV-a";"P";"85.51";12930,0814497365
"LV-a";"P";"85.52";13518,4826491114
"LV-a";"P";"85.53";4123,48757992257
"LV-a";"P";"85.59";10876,5067766777
"LV-a";"Q";"86.10";7470,1515253324
"LV-a";"Q";"86.21";5305,9115888964
"LV-a";"Q";"86.22";7513,1637918604
"LV-a";"Q";"86.23";8772,9625849219
"LV-a";"Q";"86.90";7155,0485530482
"LV-a";"Q";"87.10";15643,4220909813
"LV-a";"Q";"87.20";5864,8624612878
"LV-a";"Q";"87.30";15401,0898883466
"LV-a";"Q";"87.90";19189,1792942388
"LV-a";"Q";"88.10";9018,9870997248
"LV-a";"Q";"88.91";15705,09603837
"LV-a";"Q";"88.99";11758,5575710911
"LV-a";"R";"90.01";6426,5227136875
"LV-a";"R";"90.02";9581,2740606661
"LV-a";"R";"90.03";5108,9118545714
"LV-a";"R";"91.02";102737,435803568
"LV-a";"R";"91.03";4527,2870868409
"LV-a";"R";"93.11";11456,692235154
"LV-a";"R";"93.12";9850,7210847666
"LV-a";"R";"93.19";29365,3347008132
"LV-a";"R";"93.29";8937,2956103576
"LV-a";"S";"94.20";9196,91109538769
"LV-a";"S";"94.91";11836,6178788964
"LV-a";"S";"94.99";9971,0387250707
"LV-a";"S";"95.11";6702,0763358502
"LV-a";"S";"95.21";7254,24026833916
"LV-a";"S";"95.22";11290,9552434578
"LV-a";"S";"95.23";4166,69519720681
"LV-a";"S";"95.24";3521,05684130034
"LV-a";"S";"95.29";9833,3299067162
"LV-a";"S";"96.01";18677,0541782895
"LV-a";"S";"96.02";12287,2739393066
"LV-a";"S";"96.03";17003,0515763062
"LV-a";"S";"96.04";14302,6526190624
"LV-a";"S";"96.09";7335,97143136203
"LV-a";"U";"99.00";15467,987932184
"LV-b";"A";"01.11";66317,388592796
"LV-b";"A";"01.13";124311,777016518
"LV-b";"A";"01.21";91573,334246226
"LV-b";"A";"01.24";97881,497278058
"LV-b";"A";"01.25";75776,7638956106
"LV-b";"A";"01.28";9068,9574736077
"LV-b";"A";"01.30";135701,342395777
"LV-b";"A";"01.41";91131,756405457
"LV-b";"A";"01.42";64824,014092467
"LV-b";"A";"01.46";208885,425469903
"LV-b";"A";"01.47";126707,314448984
"LV-b";"A";"01.5";88354,907360961
"LV-b";"A";"01.61";46035,9871274356
"LV-b";"A";"01.63";46563,5541084366
"LV-b";"A";"02.10";31742,2612031469
"LV-b";"A";"02.20";74648,5176415408
"LV-b";"A";"02.40";53122,041307499
"LV-b";"A";"03.21";185933,588278095
"LV-b";"B";"5/6/7/8";21039,9291085176
"LV-b";"C";"10.1";163745,370122023
"LV-b";"C";"10.5";151525,654855398
"LV-b";"C";"10.61";26441,5086402923
"LV-b";"C";"10.71";104439,794989957
"LV-b";"C";"10.89";150059,008775319
"LV-b";"C";"10.9";156896,069429089
"LV-b";"C";"11.01";399790,8956044
"LV-b";"C";"11.02";199241,43125719
"LV-b";"C";"13.2/13.3";97948,7260913828
"LV-b";"C";"14.1";239033,085237402
"LV-b";"C";"15";174175,695991985
"LV-b";"C";"16.2";108031,464153702
"LV-b";"C";"17.12";198600,609348573
"LV-b";"C";"17.21";282390,364769823
"LV-b";"C";"18.1";43594,889056585
"LV-b";"C";"20.11";59501,2251095604
"LV-b";"C";"20.14";57012,5257039453
"LV-b";"C";"20.42";73753,46280642
"LV-b";"C";"21.10";35391,9596436255
"LV-b";"C";"22.1";31773,208854712
"LV-b";"C";"22.2";124308,080809182
"LV-b";"C";"23.4/23.3";38448,3051767415
"LV-b";"C";"23.6";66582,365494862
"LV-b";"C";"24.20";228307,385858967
"LV-b";"C";"24.3";29539,2942667522
"LV-b";"C";"24.42";109596,900500799
"LV-b";"C";"24.53";161171,454571253
"LV-b";"C";"24.5";28296,078969638
"LV-b";"C";"25.12";169201,679528502
"LV-b";"C";"25.50";223315,617641244
"LV-b";"C";"25.61";101178,4101755
"LV-b";"C";"25.62";140998,886253599
"LV-b";"C";"25.7";191204,753457714
"LV-b";"C";"25.99";158936,352246723
"LV-b";"C";"26.40";154392,993543281
"LV-b";"C";"26.5";79508,747198955
"LV-b";"C";"27.1";101638,269651982
"LV-b";"C";"27.40";170288,04711392
"LV-b";"C";"27.90";309332,734533533
"LV-b";"C";"28.4";81249,307132022
"LV-b";"C";"29.10";80430,8552183669
"LV-b";"C";"29.3";79551,7078378361
"LV-b";"C";"31.01";77124,886869496
"LV-b";"C";"32";68719,955224407
"LV-b";"C";"33.12";50941,5534250539
"LV-b";"D";"35";115797,294939967
"LV-b";"E";"36";114126,881292601
"LV-b";"E";"38";78628,708811627
"LV-b";"F";"41.10";87615,43525007
"LV-b";"F";"41.20";95447,059386789
"LV-b";"F";"42.11";61932,086239036
"LV-b";"F";"42.12";199665,216831626
"LV-b";"F";"42.21";144742,617986746
"LV-b";"F";"42.99";48948,913309433
"LV-b";"F";"43.12";38298,283803276
"LV-b";"F";"43.21";123995,859977568
"LV-b";"F";"43.22";226499,227679049
"LV-b";"F";"43.31";23814,7953494139
"LV-b";"F";"43.32";46199,3510302697
"LV-b";"F";"43.34";64260,0867558501
"LV-b";"F";"43.91";35494,3773673852
"LV-b";"F";"43.99";45705,314890854
"LV-b";"G";"45.11";139819,159085085
"LV-b";"G";"45.19";46735,31274482
"LV-b";"G";"45.20";48051,9742515789
"LV-b";"G";"45.31";143759,855070502
"LV-b";"G";"45.32";82051,486228953
"LV-b";"G";"46.15";116182,326346987
"LV-b";"G";"46.19";122702,524627708
"LV-b";"G";"46.21";57910,8640781086
"LV-b";"G";"46.22";197681,385760407
"LV-b";"G";"46.31";317660,566788746
"LV-b";"G";"46.32";252773,63775567
"LV-b";"G";"46.34";183356,729098624
"LV-b";"G";"46.38";180962,922829584
"LV-b";"G";"46.39";154587,49547662
"LV-b";"G";"46.42";123719,50040119
"LV-b";"G";"46.43";93967,446687639
"LV-b";"G";"46.45";210991,274883135
"LV-b";"G";"46.46";241339,101690016
"LV-b";"G";"46.48";145142,174132559
"LV-b";"G";"46.49";8371,7807142963
"LV-b";"G";"46.51";108228,160327665
"LV-b";"G";"46.52";122372,228632951
"LV-b";"G";"46.61";106214,561810394
"LV-b";"G";"46.62";29515,6573060151
"LV-b";"G";"46.63";160408,864089182
"LV-b";"G";"46.66";61279,333205285
"LV-b";"G";"46.69";90489,174489409
"LV-b";"G";"46.71";102349,196174835
"LV-b";"G";"46.72";125823,357991675
"LV-b";"G";"46.73";128631,183030071
"LV-b";"G";"46.74";117744,981560725
"LV-b";"G";"46.75";80488,452307929
"LV-b";"G";"46.90";24849,9078203463
"LV-b";"G";"47.11";326704,1386281
"LV-b";"G";"47.19";149868,7524694
"LV-b";"G";"47.21";151902,943664619
"LV-b";"G";"47.22";107518,465439073
"LV-b";"G";"47.24";81547,993987151
"LV-b";"G";"47.25";42295,8656121771
"LV-b";"G";"47.29";168875,357710174
"LV-b";"G";"47.30";139509,440539646
"LV-b";"G";"47.41";136769,870853891
"LV-b";"G";"47.43";158407,34309481
"LV-b";"G";"47.51";185538,8310332
"LV-b";"G";"47.52";182475,33907853
"LV-b";"G";"47.53";130254,663984998
"LV-b";"G";"47.54";474575,487163373
"LV-b";"G";"47.59";114010,958972305
"LV-b";"G";"47.62";80016,5392567204
"LV-b";"G";"47.64";52773,214699565
"LV-b";"G";"47.65";119690,682138276
"LV-b";"G";"47.71";106885,817436703
"LV-b";"G";"47.72";92290,173125953
"LV-b";"G";"47.74";28064,0779965303
"LV-b";"G";"47.75";58070,6855257358
"LV-b";"G";"47.76";149852,667235116
"LV-b";"G";"47.77";51111,6487768628
"LV-b";"G";"47.78";83779,027914039
"LV-b";"G";"47.81";16743,425629929
"LV-b";"G";"47.89";5567,7331145587
"LV-b";"G";"47.91";466156,8263583
"LV-b";"H";"49.10";53378,921061313
"LV-b";"H";"49.31";126054,14768031
"LV-b";"H";"49.39";71625,667446048
"LV-b";"H";"49.41";145759,791705285
"LV-b";"H";"49.42";13552,7482156879
"LV-b";"H";"49.50";109628,681854805
"LV-b";"H";"50.40";84919,5883513367
"LV-b";"H";"51.21";16035,2081861664
"LV-b";"H";"52.10";99144,7266736
"LV-b";"H";"52.21";184167,294851192
"LV-b";"H";"52.22";8415,2396113445
"LV-b";"H";"52.23";68264,888324206
"LV-b";"H";"52.24";39706,5828210527
"LV-b";"H";"52.29";168996,736438897
"LV-b";"H";"53.10";109098,60430162
"LV-b";"H";"53.20";18962,8765233029
"LV-b";"I";"55.10";153757,129397786
"LV-b";"I";"55.20";49086,646510693
"LV-b";"I";"55.30";144855,604727731
"LV-b";"I";"55.90";180642,90339447
"LV-b";"I";"56.10";162178,423638666
"LV-b";"I";"56.21";144180,41462132
"LV-b";"I";"56.29";143571,731631693
"LV-b";"I";"56.30";69163,184649371
"LV-b";"J";"58.13";149586,62023037
"LV-b";"J";"58.14";41511,3765096602
"LV-b";"J";"59.12";267847,512484572
"LV-b";"J";"59.14";188289,834268207
"LV-b";"J";"60.10";159799,315537869
"LV-b";"J";"61.10";493629,29385232
"LV-b";"J";"61.20";434378,09957088
"LV-b";"J";"61.90";271586,68298884
"LV-b";"J";"62.01";67097,026253083
"LV-b";"J";"62.02";67526,313173867
"LV-b";"J";"63.11";718080,18634329
"LV-b";"J";"63.99";108907,322092679
"LV-b";"K";"64.19";80198,204414639
"LV-b";"K";"64.20";164564,767354038
"LV-b";"K";"64.91";3281,8283573171
"LV-b";"K";"65.12";67232,384426888
"LV-b";"K";"66.19";86792,953239382
"LV-b";"K";"66.30";181666,480268882
"LV-b";"L";"68.10";40737,007421287
"LV-b";"L";"68.20";93771,590898595
"LV-b";"L";"68.31";85211,358225165
"LV-b";"L";"68.32";82029,323957086
"LV-b";"M";"69.10";39156,1924935306
"LV-b";"M";"69.20";58324,6547384558
"LV-b";"M";"70.10";201313,77814123
"LV-b";"M";"70.22";87006,448073977
"LV-b";"M";"71.11";57065,417367078
"LV-b";"M";"71.12";131494,695717124
"LV-b";"M";"71.20";33165,6859378213
"LV-b";"M";"72.19";133204,167711757
"LV-b";"M";"73.11";85781,030351415
"LV-b";"M";"73.20";116224,024688055
"LV-b";"M";"74.20";25274,9274069812
"LV-b";"N";"77.11";152941,941938073
"LV-b";"N";"77.29";92187,0984803413
"LV-b";"N";"77.31";41918,2976183998
"LV-b";"N";"77.32";65595,1798757874
"LV-b";"N";"79.90";18587,3170033063
"LV-b";"N";"80.10";134946,303799561
"LV-b";"N";"80.20";8635,9999194645
"LV-b";"N";"81.10";89916,880010366
"LV-b";"N";"81.21";59844,1817076071
"LV-b";"N";"81.30";50796,601440452
"LV-b";"N";"82.11";167581,925718637
"LV-b";"N";"82.19";286348,180913691
"LV-b";"N";"82.30";117160,501373374
"LV-b";"N";"82.92";48200,7559238598
"LV-b";"N";"82.99";46649,892342065
"LV-b";"O";"84.11";84268,629713572
"LV-b";"O";"84.12";50709,933468802
"LV-b";"O";"84.13";80368,412933455
"LV-b";"O";"84.22";32908,22655022
"LV-b";"O";"84.23";41617,292408874
"LV-b";"O";"84.24";140064,131269971
"LV-b";"O";"84.25";52637,986157055
"LV-b";"O";"84.30";146780,305260107
"LV-b";"P";"85.10";83002,1245957945
"LV-b";"P";"85.20";85945,3634579754
"LV-b";"P";"85.31";144294,48582805
"LV-b";"P";"85.32";173163,046580076
"LV-b";"P";"85.41";285651,49450195
"LV-b";"P";"85.42";182176,953727765
"LV-b";"P";"85.51";48716,6211308299
"LV-b";"P";"85.53";147351,737534776
"LV-b";"P";"85.59";69922,732961115
"LV-b";"Q";"86.10";300005,37442624
"LV-b";"Q";"86.21";68219,9582148809
"LV-b";"Q";"86.22";40669,263579664
"LV-b";"Q";"86.90";107739,873456353
"LV-b";"Q";"87.10";223701,56301455
"LV-b";"Q";"87.20";174643,74300675
"LV-b";"Q";"87.30";277914,28334268
"LV-b";"Q";"87.90";81377,930373475
"LV-b";"Q";"88.10";120494,368400239
