"solution_id","configuration_id","scenario_id","aidres_sector_id","horizon","electricity_[mwh/t]","electricity_[gj/t]","alternative_fuel_mixture_[gj/t]","biomass_[gj/t]","biomass_waste_[gj/t]","coal_[gj/t]","coke_[gj/t]","crude_oil_[gj/t]","hydrogen_[gj/t]","methanol_[gj/t]","ammonia_[gj/t]","naphtha_[gj/t]","natural_gas_[gj/t]","plastic_mix_[gj/t]","alternative_fuel_mixture_[t/t]","biomass_[t/t]","biomass_waste_[t/t]","coal_[t/t]","coke_[t/t]","crude_oil_[t/t]","hydrogen_[t/t]","methanol_[t/t]","ammonia_[t/t]","naphtha_[t/t]","natural_gas_[t/t]","plastic_mix_[t/t]","totex_[eur/t]","opex_var_[eur/t]","co2_allowance_[eur/t]","opex_cst_[eur/t]","opex_[eur/t]","capex_[eur/t]","direct_emission_[tco2/t]","total_emission_[tco2/t]","direct_emission_reduction_[%]","total_emission_reduction_[%]","captured_co2_[tco2/t]","product_name","configuration_name","sector_name"
"81","11","1","2","2030","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","149.6466911","7.811947391","109.05","29.7847437","146.6466911","3","0.727","0.739578472","-45.9","-38","0","cement","CEM1-(Afm)","Cement"
"82","11","2","2","2030","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","149.6466911","7.811947391","109.05","29.7847437","146.6466911","3","0.727","0.739578472","-45.9","-38","0","cement","CEM1-(Afm)","Cement"
"83","11","3","2","2030","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","149.6466911","7.811947391","109.05","29.7847437","146.6466911","3","0.727","0.739578472","-45.9","-38","0","cement","CEM1-(Afm)","Cement"
"84","11","4","2","2030","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","149.6466911","7.811947391","109.05","29.7847437","146.6466911","3","0.727","0.739578472","-45.9","-38","0","cement","CEM1-(Afm)","Cement"
"85","11","5","2","2050","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","295.0466911","7.811947391","254.45","29.7847437","292.0466911","3","0.727","0.727719796","-45.9","-35.7","0","cement","CEM1-(Afm)","Cement"
"86","11","6","2","2050","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","295.0466911","7.811947391","254.45","29.7847437","292.0466911","3","0.727","0.727719796","-45.9","-35.7","0","cement","CEM1-(Afm)","Cement"
"87","11","7","2","2050","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","295.0466911","7.811947391","254.45","29.7847437","292.0466911","3","0.727","0.727719796","-45.9","-35.7","0","cement","CEM1-(Afm)","Cement"
"88","11","8","2","2050","0.09882","0.35576","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","295.0466911","7.811947391","254.45","29.7847437","292.0466911","3","0.727","0.727719796","-45.9","-35.7","0","cement","CEM1-(Afm)","Cement"
"89","12","1","2","2030","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","78.74864052","16.71389682","26.25","29.7847437","72.74864052","6","0.175","0.202270148","64.9","62.3","0.7","cement","CEM1-(Afm)MEA","Cement"
"90","12","2","2","2030","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","78.74864052","16.71389682","26.25","29.7847437","72.74864052","6","0.175","0.202270148","64.9","62.3","0.7","cement","CEM1-(Afm)MEA","Cement"
"91","12","3","2","2030","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","78.74864052","16.71389682","26.25","29.7847437","72.74864052","6","0.175","0.202270148","64.9","62.3","0.7","cement","CEM1-(Afm)MEA","Cement"
"92","12","4","2","2030","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","78.74864052","16.71389682","26.25","29.7847437","72.74864052","6","0.175","0.202270148","64.9","62.3","0.7","cement","CEM1-(Afm)MEA","Cement"
"93","12","5","2","2050","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","113.7486405","16.71389682","61.25","29.7847437","107.7486405","6","0.175","0.17612746","64.9","67.1","0.7","cement","CEM1-(Afm)MEA","Cement"
"94","12","6","2","2050","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","113.7486405","16.71389682","61.25","29.7847437","107.7486405","6","0.175","0.17612746","64.9","67.1","0.7","cement","CEM1-(Afm)MEA","Cement"
"95","12","7","2","2050","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","113.7486405","16.71389682","61.25","29.7847437","107.7486405","6","0.175","0.17612746","64.9","67.1","0.7","cement","CEM1-(Afm)MEA","Cement"
"96","12","8","2","2050","0.21786","0.78428","5.2383","0","0","0","0","0","0","0","0","0","0","0","0.14835","0","0","0","0","0","0","0","0","0","0","0","113.7486405","16.71389682","61.25","29.7847437","107.7486405","6","0.175","0.17612746","64.9","67.1","0.7","cement","CEM1-(Afm)MEA","Cement"
